Word,Count,Sense,Definition,Example 1,Example 2
show,4,,make visible or noticeable,She showed her talent for cooking,"Show me your etchings, please"
show,4,show up,be or become visible or noticeable,His good upbringing really shows,The dirty side will show
show,4,demo,give an exhibition of to an interested audience,She shows her dogs frequently,We will demo the new software in Washington
shower,6,,take a shower,wash one's body in the shower,You should shower after vigorous exercise
shrink,6,,become smaller or draw together,The fabric shrank,The balloon shrank
shrink,6,reduce |,reduce in size,reduce physically,Hot water will shrink the sweater
shrink b shrivel b,18,,"decrease in size, range, or extent",His earnings shrank,My courage shrivelled when I saw the task before me
shuffle,7,,walk by dragging one's feet,he shuffled out of the room,We heard his feet shuffling down the hall
shut off,8,,block off the passage through,We shut off the valve,
sic,3,,urge to attack someone,The owner sicked his dogs on the intruders,the shaman sics sorcerers on the evil spirits
sicken,6,,upset and make nauseated,The smell of the food turned the pregnant woman's stomach,The mold on the food sickened the diners
side,4,,take sides for or against,Who are you siding with?,I'm siding against the current candidate
sideline,8,,remove from the center of activity or attention,place into an inferior position,The outspoken cabinet member was sidelined by the President
sigh,4,,heave or utter a sigh,breathe deeply and heavily,She sighed sadly
sightread,9,,,perform music from a score without having seen the score before,He is a brilliant pianist but he cannot sightread
sightsing,9,,,sing from a score without having seen it before,This tenor can sightsing even the most difficult pieces
sign,4,,be engaged by a written agreement,He signed to play the casino on Dec.,The soprano signed to sing the new opera
sign,4,subscribe |,mark with one's signature,write one's name (on),She signed the letter and sent it off
sign,4,signal,communicate silently and non-verbally by signals or signs,He signed his disapproval with a dismissive hand gesture,The diner signaled the waiters to bring the menu
sign,4,,"place signs, as along a road",sign an intersection,This road has been signed
sign,4,,"approve and express assent, responsibility, or obligation",All parties ratified the peace treaty,Have you signed your contract yet?
sign off,8,,,cease broadcasting,get off the air
signify,7,,convey or express a meaning,These words mean nothing to me,What does his strange behavior signify?
simmer,6,,,boil slowly at low temperature,simmer the sauce
simplify,8,,make simpler or easier or reduce in complexity or extent,We had to simplify the instructions,this move will simplify our lives
simulate,8,,make a pretence of,"She assumed indifference, even though she was seething with anger",he feigned sleep
sing,4,,,produce tones with the voice,She was singing while she was cooking
sing,4,,,deliver by singing,Sing Christmas carols
single,6,,,hit a single,the batter singled to left field
sink,4,subside |,descend into or as if into some soft substance or place,He sank into bed,She subsided into the chair
sit,3,,serve in a specific professional capacity,the priest sat for confession,she sat on the jury
sit,3,,"be around, often idly or without specific purpose",The object sat in the corner,We sat around chatting for another hour
sit out,7,,,"not participate in (an activity, such as a dance or a sports event)",He sat out the game
sit tight,9,,maintain the same position,wait it out,Let's not make a decision--let's sit tight
situate,7,,put (something somewhere) firmly,She posited her hand on his shoulder,deposit the suitcase on the bench
situate,7,,"determine or indicate the place, site, or limits of, as if by an instrument or by a survey",Our sense of sight enables us to locate objects in space,Locate the boundaries of the property
sizzle,6,,seethe with deep anger or resentment,She was sizzling with anger,
skate,5,,,move along on skates,The Dutch often skate along the canals in winter
skateboard,10,,,ride on a flat board with rollers attached to the bottom,
sketch,6,,describe roughly or briefly or give the main points or summary of,sketch the outline of the book,outline his ideas
sketch,6,,,make a sketch of,sketch the building
ski,3,,,move along on skis,We love to ski the Rockies
skimcoat,8,,,coat with a mixture of gypsum and spackle,he skimcoated the drywall
skirt,5,,pass around or about,move along the border,The boat skirted the coast
skyjack,7,,,subject an aircraft to air piracy,the plane was skyjacked to Uzbekistan
slack,5,slacken | slack up,make less active or fast,He slackened his pace as he got tired,Don't relax your efforts now
slam-dunk,9,,,make a slam dunk,shoot a basketball in a slam dunk
slap,4,,"hit with something flat, like a paddle or the open hand",The impatient teacher slapped the student,a gunshot slapped him on the forehead
slate,5,,designate or schedule,He slated his talk for  AM,She was slated to be his successor
sledge,6,,ride in or travel with a sledge,the antarctic expedition sledged along the coastline,The children sledged all day by the lake
sleep,5,,be asleep,,
sleep late,10,,sleep later than usual or customary,"On Sundays, I sleep in",
sleep together,14,,,u  f                                  f  have sexual intercourse with,This student sleeps with everyone in her dorm
sling,5,,hold or carry in a sling,he cannot button his shirt with his slinged arm,
slip,4,,get worse,My grades are slipping,
slip,4,,move smoothly and easily,the bolt slipped into place,water slipped from the polished marble
slip in,7,,insert casually,She slipped in a reference to her own work,
slip on,7,,put on with ease or speed,slip into something more comfortable after work,slip on one's shoes
slum,4,,"spend time at a lower socio-economic level than one's own, motivated by curiosity or desire for adventure",usage considered condescending and insensitive,attending a motion picture show by the upper class was considered sluming in the early 20th century
slump,5,,fall heavily or suddenly,decline markedly,The real estate market fell off
slump,5,,fall or sink heavily,He slumped onto the couch,My spirits sank
slur,4,,speak disparagingly of,"e.g., make a racial slur",your comments are slurring your co-workers
slur,4,,,play smoothly or legato,the pianist slurred the most beautiful passage in the sonata
smack,5,thwack,deliver a hard blow to,The teacher smacked the student who had misbehaved,
smack d reek d smell,20,,have an element suggestive (of something),his speeches smacked of racism,this passage smells of plagiarism
smell,5,,become aware of not through the senses but instinctively,I sense his hostility,I smell trouble
smite,5,,affect suddenly with deep feeling,He was smitten with love for this young girl,
smoke,5,,"inhale and exhale smoke from cigarettes, cigars, pipes",We never smoked marijuana,Do you smoke?
smother,7,stifle,suppress in order to conceal or hide,smother a yawn,muffle one's anger
smother,7,,deprive of oxygen and prevent from breathing,Othello smothered Desdemona with a pillow,The child suffocated herself with a plastic bag that the parents had left on the floor
smuggle,7,,,,c 01092370 n 0000 + 10634850 n 0101 + 01114037 n 0101 05 + 02 00 + 08 00 + 09 00 + 20 00 + 21 00 | import or export without paying customs duties
snap,4,,"utter in an angry, sharp, or abrupt tone",The sales clerk snapped a reply at the angry customer,The guard snarled at us
snap,4,,move or strike with a noise,he clicked on the light,his arm was snapped forward
snap,4,,make a sharp sound,his fingers snapped,
sneak,5,,"put, bring, or take in a secretive or furtive manner",sneak a look,sneak a cigarette
sneak in,8,,enter surreptitiously,He sneaked in under cover of darkness,"In this essay, the author's personal feelings creep in"
sneeze,6,,"exhale spasmodically, as when an irritant entered one's nose",Pepper makes me sneeze,
sniff,5,,inhale audibly through the nose,the sick student was sniffling in the back row,
snog,4,,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",The newly married couple kissed,She kissed her grandfather on the forehead when she entered the room
snooze,6,,sleep lightly or for a short period of time,,
snore,5,,breathe noisily during one's sleep,she complained that her husband snores,
snort,5,,make a snorting sound by exhaling hard,The critic snorted contemptuously,
snowshoe,8,,travel on snowshoes,"After a heavy snowfall, we have to snowshoe to the grocery store",
snuff out,9,,put an end to,kill,The Nazis snuffed out the life of many Jewish children
snuff out,9,,"put out, as of fires, flames, or lights","Too big to be extinguished at once, the forest fires at best could be contained",quench the flames
socialize,9,socialise |,take part in social activities,interact with others,He never socializes with his colleagues
solarize,8,solarise |,,overexpose to sunlight,be careful not to solarize the photographic film
solarize,8,solarise |,,become overexposed,The film solarized
solicit,7,,make a solicitation or entreaty for something,request urgently or persistently,Henry IV solicited the Pope for a divorce
solidify,8,,,become solid,The metal solidified when it cooled
solidify,8,,,make solid or more solid,cause to solidify
solmizate,9,,,"sing using syllables like `do', `re' and `mi' to represent the tones of the scale",The voice teacher showed the students how to solmizate
solmizate,9,,,sing by the syllables of solmization,solmizate a song before you learn the lyrics
solve,5,,find the solution to (a problem or question) or understand the meaning of,did you solve the problem?,Work out your problems with the boss
sound,5,,make a certain noise or sound,She went `Mmmmm',The gun went `bang'
sound,5,,cause to sound,sound the bell,sound a certain note
sound off,9,,,,c 05726882 n 0000
sour,4,turn | ferment,go sour or spoil,The milk has soured,The wine worked
source,6,,get (a product) from another country or business,She sourced a supply of carpet,They are sourcing from smaller companies
souse,5,,,cook in a marinade,souse herring
sow,3,,introduce into an environment,sow suspicion or beliefs,
sow,3,,,place (seeds) in or on the ground for future growth,She sowed sunflower seeds
spang,5,,,"u           leap, jerk, bang",Bullets spanged into the trees
spar,4,,,,c 00524569 n 0000 01 + 01 00 | fight with spurs
sparkle,7,scintillate,be lively or brilliant or exhibit virtuosity,The musical performance sparkled,A scintillating conversation
spat,4,,spawn,oysters spat,
spatchcock,10,,,prepare for eating if or as if a spatchcock,spatchcock a guinea hen
spawn,5,,lay spawn,The salmon swims upstream to spawn,
speak,5,talk |,use language,the baby talks already,the prisoner won't speak
speak up,8,,speak louder,raise one's voice,The audience asked the lecturer to please speak up
spear,5,,thrust up like a spear,The branch speared up into the air,
specialize,10,specialise |,suit to a special purpose,specialize one's research,this kind of beak has become specialized in certain Galapagos finches
specialize,10,,devote oneself to a special area of work,She specializes in honey bees,This baker specializes in French bread
specify,7,set,decide upon or fix definitely,fix the variables,specify the parameters
speechify,9,,make speeches,"hold forth, or harangue with a certain degree of formality",These ministers speechify on every occasion
speed skate,11,,,race on skates,
spell,5,,orally recite the letters of or give the spelling of,How do you spell this word?,We had to spell out our names for the police officer
spell out,9,,make explicit,specify in detail,You should spell out your demands
spew,4,spew out,"eject or send out in large quantities, also metaphorical",the volcano spews out molten rocks every day,The editors of the paper spew out hostile articles about the Presidential candidate
spike,5,,,add alcohol to (beverages),the punch is spiked!
spill,5,,reveal information,"If you don't oblige me, I'll talk",The former employee spilled all the details
spill,5,shed | pour forth,pour out in drops or small quantities or as if in drops or small quantities,shed tears,spill blood
spill,5,slop,cause or allow (a liquid substance) to run or flow from a container,spill the milk,splatter water
spill,5,,"flow, run or fall out and become lost",The milk spilled across the floor,The wine spilled onto the table
spin,4,spin around,revolve quickly and repeatedly around one's own axis,The dervishes whirl around and around without getting dizzy,
spiritualize,12,,give a spiritual meaning to,read in a spiritual sense,
splash,6,,mark or overlay with patches of contrasting color or texture,cause to appear splashed or spattered,The mountain was splashed with snow
splat,5,,,split open and flatten for cooking,splat fish over an open fire
splay,5,,spread open or apart,He splayed his huge hands over the table,
splint,6,,,support with a splint,splint a broken finger
spondaize,9,,,make spondaic,spondaize verses
sportscast,10,,broadcast a sports event,,
sporulate,9,,,produce spores,plants sporulate
spot,4,recognize | recognise | distinguish,detect with the senses,The fleeing convicts were picked out of the darkness by the watchful prison guards,I can't make out the faces in this photograph
spray,5,,scatter in a mass or jet of droplets,spray water on someone,spray paint on the wall
spread,6,propagate |,become distributed or widespread,the infection spread,Optimism spread among the population
spread,6,,strew or distribute over an area,He spread fertilizer over the lawn,scatter cards across the table
spread-eagle,12,,,"execute a spread eagle on skates, with arms and legs stretched out",
sprinkle,8,,scatter with liquid,wet lightly,Sprinkle the lawn
spruce up,9,,"make neat, smart, or trim",Spruce up your house for Spring,titivate the child
spy,3,,secretly collect sensitive or classified information,engage in espionage,spy for the Russians
spy,3,sight,catch sight of,to perceive with the eyes,he caught sight of the king's men coming over the ridge
squall,6,,blow in a squall,"When it squalls, a prudent sailor reefs his sails",
square,6,,make square,Square the circle,square the wood with a file
squash,6,,"to compress with violence, out of natural shape or condition",crush an aluminum can,squeeze a lemon
squat,5,,sit on one's heels,"In some cultures, the women give birth while squatting",The children hunkered down to protect themselves from the sandstorm
squelch,7,,suppress or crush completely,squelch any sign of dissent,quench a rebellion
squint,6,,cross one's eyes as if in strabismus,The children squinted so as to scare each other,
squint,6,,"partly close one's eyes, as when hit by direct blinding light",The driver squinted as the sun hit his windshield,
stabilize,9,stabilise |,make stable and keep from fluctuating or put into an equilibrium,The drug stabilized her blood pressure,stabilize prices
stable,6,,,shelter in a stable,stable horses
stack,5,,arrange in stacks,heap firewood around the fireplace,stack your books up on the shelves
stage,5,,,"perform (a play), especially on a stage",we are going to stage `Othello'
stagnate,8,,cease to flow,stand without moving,Stagnating waters
stain,5,,color with a liquid dye or tint,Stain this table a beautiful walnut color,people knew how to stain glass a beautiful blue in the middle ages
stall,5,,,come to a stop,The car stalled in the driveway
stall,5,,cause an engine to stop,The inexperienced driver kept stalling the car,
stall,5,,,cause an airplane to go into a stall,
stall,5,,,"experience a stall in flight, of airplanes",
stamp,5,,destroy or extinguish as if by stamping with the foot,Stamp fascism into submission,stamp out tyranny
stand,5,,be standing,be upright,We had to stand for the entire performance!
stand,5,,hold one's ground,maintain a position,be steadfast or upright
stand,5,,be tall,have a height of,copula
stand,5,,be in effect,be or remain in force,The law stands!
stand a,7,,,be available for stud services,male domestic animals such as stallions serve selected females
stand back,10,,"stay clear of, avoid",Keep your hands off my wife,Keep your distance from this man--he is dangerous
stand by,8,stick by,be loyal to,She stood by her husband in times of trouble,The friends stuck together through the war
stand guard,11,,watch over so as to protect,We must stand sentinel to protect ourselves,The jewels over which they kept guard were stolen
stand still,11,,remain in place,hold still,remain fixed or immobile
stand up,8,,defend against attack or criticism,He stood up for his friend,She stuck up for the teacher who was accused of harassing the student
stand up,8,,"resist or withstand wear, criticism, etc.",Her shoes won't hold up,This theory won't hold water
start,5,start up,get off the ground,Who started this company?,We embarked on an exciting enterprise
start,5,start up,get going or set in motion,We simply could not start the engine,start up the computer
start,5,,begin or set in motion,I start at eight in the morning,"Ready, set, go!"
start,5,,"begin work or acting in a certain capacity, office or job",Take up a position,start a new job
startle,7,,to stimulate to action,the loud noise startled him awake,galvanized into action
starve,6,famish |,die of food deprivation,The political prisoners starved to death,Many famished in the countryside during the drought
starve,6,,deprive of a necessity and cause suffering,he is starving her of love,The engine was starved of fuel
starve,6,,be hungry,go without food,Let's eat--I'm starving!
state,5,,express in words,He said that he wanted to marry her,tell me what is bothering you
stay,4,,stay the same,remain in a certain state,The dress remained wet after repeated attempts to dry it
stay,4,,stay put (in a certain place),We are staying in Detroit; we are not moving to Cincinnati,Stay put in the corner here!
stay,4,stay on,"continue in a place, position, or situation","After graduation, she stayed on in Cambridge as a student adviser","Stay with me, please"
stay up,7,,not go to bed,Don't stay up so late--you have to go to work tomorrow,We sat up all night to watch the election
steal,5,,take without the owner's consent,Someone stole my wallet on the train,This author stole entire paragraphs from my dissertation
steam,5,,,cook something by letting steam pass over it,just steam the vegetables
steamer,7,,,travel by means of steam power,The ship steamed off into the Pacific
steep,5,,let sit in a liquid to extract a flavor or to cleanse,steep the blossoms in oil,steep the fruit in alcohol
stem,4,,stop the flow of a liquid,staunch the blood flow,stem the tide
stem,4,,cause to point inward,stem your skis,
step,4,,move or proceed as if by steps into a new situation,She stepped into a life of luxury,he won't step into his father's footsteps
step,4,tread |,"put down or press the foot, place the foot",For fools rush in where angels fear to tread,step on the brake
step,4,,,furnish with steps,The architect wants to step the terrace
stew,4,,,cook slowly and for a long time in liquid,Stew the vegetables in wine
stick,5,,saddle with something disagreeable or disadvantageous,They stuck me with the dinner bill,I was stung with a huge tax bill
stick out,9,protrude,extend out or project in space,His sharp nose jutted out,A single rock sticks out from the cliff
stick to,8,,keep to,Stick to your principles,stick to the diet
stiffen,7,tighten | tighten up,severely restrict in scope or extent,tighten the rules,stiffen the regulations
stigmatize,10,,to accuse or condemn or openly or formally or brand as disgraceful,He denounced the government action,She was stigmatized by society because she had a child out of wedlock
still,5,allay,lessen the intensity of or calm,The news eased my conscience,still the fears
stimulate,9,,cause to be alert and energetic,Coffee and tea stimulate me,This herbal infusion doesn't stimulate
stimulate,9,,act as a stimulant,The book stimulated her imagination,This play stimulates
stimulate,9,,"stir the feelings, emotions, or peace of",These stories shook the community,the civil war shook the country
stimulate,9,,stir feelings in,stimulate my appetite,excite the audience
stipulate,9,,specify as a condition or requirement in a contract or agreement,make an express demand or provision in an agreement,The will stipulates that she can live in the house for the rest of her life
stir,4,,move an implement through,stir the soup,stir my drink
stir fry,8,,,fry very quickly over high heat,stir-fry the vegetables in a wok
stock,5,buy in,,amass so as to keep for future use or sale or for a particular occasion or use,let's stock coffee as long as prices are low
stock,5,,,supply with livestock,stock a farm
stock,5,,,supply with fish,stock a lake
stonewall,9,,obstruct or hinder any discussion,Nixon stonewalled the Watergate investigation,"When she doesn't like to face a problem, she simply stonewalls"
stooge,6,,"act as a stooge, in a compliant or subordinate manner",He stooged for the flamboyant Senator,
stooge,6,,,act as the stooge,His role was to stooge for the popular comedian
stoop,5,,"carry oneself, often habitually, with head, shoulders, and upper back bent forward",The old man was stooping but he could walk around without a cane,
stop,4,,cause to stop,stop a car,stop the thief
stop,4,,"come to a halt, stop moving",the car stopped,She stopped in front of a store window
stop,4,stop over,interrupt a trip,we stopped at Aunt Mary's house,they stopped for three days in Florence
stop,4,,stop from happening or developing,Block his election,Halt the process
stopper,7,,close or secure with or as if with a stopper,She stoppered the wine bottle,The mothers stoppered their babies' mouths with pacifiers
store,5,,keep or lay aside for future use,store grain for the winter,The bear stores fat for the period of hibernation when he doesn't eat
store,5,,find a place for and put away for storage,where should we stow the vegetables?,I couldn't store all the books in the attic so I sold some
storm,5,,blow hard,It was storming all night,
storm,5,,"rain, hail, or snow hard and be very windy, often with thunder or lightning","If it storms, we'll need shelter",
straighten,10,,make straight or straighter,Straighten this post,straighten hair
strain,6,,use to the utmost,exert vigorously or to full capacity,He really extended himself when he climbed Kilimanjaro
strain,6,tense,become stretched or tense or taut,the bodybuilder's neck muscles tensed,the rope strained when the weight was attached
strangle,8,,die from strangulation,,
strangle,8,,kill by squeezing the throat of so as to cut off the air,he tried to strangulate his opponent,A man in Boston has been strangling several dozen prostitutes
stratify,8,,,form layers or strata,The rock stratifies
stratify,8,,"form, arrange, or deposit in layers",The fish are stratified in barrels,The rock was stratified by the force of the water
stray,5,,wander from a direct course or at random,The child strayed from the path and her parents lost sight of her,don't drift from the set course
stream,6,,exude profusely,She was streaming with sweat,His nose streamed blood
strengthen,10,beef up,make strong or stronger,This exercise will strengthen your upper body,strengthen the relations between the two countries
stress,6,accent,put stress on,utter with an accent,"In Farsi, you accent the last syllable of each word"
stretch,7,extend,"extend one's limbs or muscles, or the entire body",Stretch your legs,Extend your right arm above your head
stretch,7,,extend the scope or meaning of,often unduly,Stretch the limits
strew,5,,cover,be dispersed over,Dead bodies strewed the ground
strike,6,,"arrive at after reckoning, deliberating, and weighing",strike a balance,strike a bargain
strike,6,,indicate (a certain time) by striking,The clock struck midnight,"Just when I entered, the clock struck"
strike,6,,"make a strategic, offensive, assault against an enemy, opponent, or a target","The Germans struck Poland on Sept. ,",We must strike the enemy's oil fields
strike,6,hit |,produce by manipulating keys or strings of musical instruments,The pianist strikes a middle C,strike `z' on the keyboard
strike,6,,pierce with force,The bullet struck her thigh,The icy wind struck through our coats
strike,6,,"deliver a sharp blow, as with the hand, fist, or weapon",The teacher struck the child,the opponent refused to strike
strike,6,scratch | expunge,remove by erasing or crossing out or as if by drawing a line,Please strike this remark from the record,scratch that remark
strike,6,,produce by ignition or a blow,strike fire from the flintstone,strike a match
strike,6,,stop work in order to press demands,The auto workers are striking for higher wages,The employees walked out when their demand for better benefits was not met
strike a chord,14,touch a chord,"evoke a reaction, response, or emotion",this writer strikes a chord with young women,The storyteller touched a chord
strike dumb,11,,"render speechless, as by surprising or shocking",we were struck dumb by the candidate's announcement,
strike out,10,,,put out or be put out by a strikeout,Oral struck out three batters to close the inning
strike out,10,,make a motion as with one's fist or foot towards an object or away from one's body,,
strike up,9,,begin,strike up a conversation,strike up a friendship
string,6,,add as if on a string,string these ideas together,string up these songs and you'll have a musical
string,6,thread | draw e,thread on or as if on a string,string pearls on a string,the child drew glass beads on a string
string,6,,string together,tie or fasten with a string,string the package
strip c undress,15,,remove (someone's or one's own) clothes,The nurse quickly undressed the accident victim,She divested herself of her outdoor clothes
strip-search,12,,search (someone) for weapons or drugs by having the person remove their clothes,He was strip-searched at the airport,
stud,4,,,provide with or construct with studs,stud the wall
study,5,hit the books,learn by reading books,He is studying geology in his room,I have an exam next week; I must hit the books now
study,5,,be a student,follow a course of study,be enrolled at an institute of learning
study,5,,give careful consideration to,consider the possibility of moving,
stuff,5,lug | choke up,obstruct,My nose is all stuffed,Her arteries are blocked
stultify,8,,,prove to be of unsound mind or demonstrate someone's incompetence,nobody is legally allowed to stultify himself
style,5,,,make consistent with a certain fashion or style,Style my hair
stylize,7,,,represent according to a conventional style,a stylized female head
subject,7,,cause to experience or suffer or make liable or vulnerable to,He subjected me to his awful poetry,The sergeant subjected the new recruits to many drills
sublime,7,sublimate |,change or cause to change directly from a solid into a vapor without first melting,sublime iodine,some salts sublime when heated
submerge,8,,cover completely or make imperceptible,I was drowned in work,The noise drowned out her speech
subscribe,9,,,"offer to buy, as of stocks and shares",The broker subscribed 500 shares
subside,7,,wear off or die down,The pain subsided,
substitute,10,,put in the place of another,switch seemingly equivalent items,the con artist replaced the original with a fake Rembrandt
substitute,10,sub,be a substitute,The young teacher had to substitute for the sick colleague,The skim milk substitutes for cream--we are on a strict diet
subtract,8,,take off or away,this prefix was subtracted when the word was borrowed from French,
subtract,8,,,make a subtraction,subtract this amount from my paycheck
succeed,7,come after,be the successor (of),Carter followed Ford,Will Charles succeed to the throne?
succeed,7,,attain success or reach a desired goal,The enterprise succeeded,We succeeded in getting tickets to the show
suck,4,,draw into the mouth by creating a practical vacuum in the mouth,suck the poison from the place where the snake bit,suck on a straw
suck,4,,be inadequate or objectionable,this sucks,this blows!
suction,7,,,empty or clean (a body cavity) by the force of suction,suction the uterus in an abortion
suffer,6,sustain,undergo (as of injuries and illnesses),She suffered a fracture in the accident,He had an insulin shock after eating three candy bars
suffer,6,,get worse,His grades suffered,
suffer,6,lose |,be set at a disadvantage,This author really suffers in translation,The painting loses something in this light
suffer,6,endure,undergo or be subjected to,He suffered the penalty,Many saints suffered martyrdom
suffer,6,meet,undergo or suffer,meet a violent death,suffer a terrible fate
suffice,7,,be sufficient,"be adequate, either in quality or quantity",A few words would answer
suffocate,9,stifle | asphyxiate,be asphyxiated,die from lack of oxygen,The child suffocated under the pillow
suffocate,9,stifle | asphyxiate | choke |,impair the respiration of or obstruct the air passage of,The foul air was slowly suffocating the children,
sum up,6,,give a summary (of),he summed up his results,I will now summarize
summerize,9,,prepare for summer,summerize your car,summerize a house
summit,6,,reach the summit (of a mountain),They breasted the mountain,Many mountaineers go up Mt. Everest but not all summit
sun,3,,expose to the rays of the sun or affect by exposure to the sun,insolated paper may turn yellow and crumble,These herbs suffer when sunned
superannuate,12,,declare to be obsolete,,
supplant,8,,take the place or move into the position of,Smith replaced Miller as CEO after Miller left,the computer has supplanted the slide rule
support,7,,,play a subordinate role to (another performer),Olivier supported Gielgud beautifully in the second act
support,7,,support materially or financially,he does not support his natural children,The scholarship supported me when I was in college
support,7,,"give moral or psychological support, aid, or courage to",She supported him during the illness,Her children always backed her up
suppose,7,,express a supposition,Let us say that he did not tell the truth,Let's say you had a lot of money--what would you do?
suppress,8,,lessen to the point of stopping,suppress a yawn,this drug can suppress the hemorrhage
suppress,8,,bring under control by force or authority,suppress a nascent uprising,stamp down on littering
surfboard,9,,,ride the waves of the sea with a surfboard,Californians love to surf
surge,5,,,see one's performance improve,He levelled the score and then surged ahead
surpass,7,,be or do something to a greater degree,her performance surpasses that of any other student I know,She outdoes all other athletes
surprise,8,,come upon or take unawares,She surprised the couple,He surprised an interesting scene
surround,8,,extend on all sides of simultaneously,encircle,The forest surrounds my property
survey,6,,consider in a comprehensive way,He appraised the situation carefully before acting,
survey,6,,plot a map of (land),,
survive,7,last | live | live on,continue to live and avoid dying,We went without water and food for  days,These superstitions survive in the backwaters of America
suspect,7,,imagine to be the case or true or probable,I suspect he is a fugitive,I surmised that the butler did it
suspect,7,,hold in suspicion,believe to be guilty,The U.S. suspected Bin Laden as the mastermind behind the terrorist attacks
suspend,7,,,cause to be held in suspension in a fluid,suspend the particles
suspend,7,,bar temporarily,"from school, office, etc.",
suspend,7,,render temporarily ineffective,the prison sentence was suspended,
sustain,7,,admit as valid,The court sustained the motion,
sustain,7,,supply with necessities and support,She alone sustained her family,The money will sustain our good cause
swagger,7,,"act in an arrogant, overly self-assured, or conceited manner",,
swamp,5,,drench or submerge or be drenched or submerged,The tsunami swamped every boat in the harbor,
swear in,8,,administer on oath to,The speaker of the House swore in the new President,
sweat off,9,,lose weight by sweating,I sweated off  pounds in the sauna,
sweep,5,,sweep with a broom or as if with a broom,Sweep the crumbs off the table,Sweep under the bed
sweep,5,,"move with sweeping, effortless, gliding motions",The diva swept into the room,Shreds of paper sailed through the air
swerve,6,,turn sharply,change direction abruptly,The car cut to the left at the intersection
swim,4,,travel through water,We had to swim for  minutes to reach the shore,a big fish was swimming in the tank
swing,5,,alternate dramatically between high and low values,his mood swings,the market is swinging up and down
swing,5,,change direction with a swinging motion,turn,swing back
swing,5,,"move in a curve or arc, usually with the intent of hitting",He swung his left fist,swing a bat
swing around,12,,"turn abruptly and face the other way, either physically or metaphorically",He turned around to face his opponent,My conscience told me to turn around before I made a mistake
switch,6,shift | change |,"lay aside, abandon, or leave for another",switch to a different brand of beer,She switched psychiatrists
switch off,10,,cause to stop operating by disengaging a switch,"Turn off the stereo, please",cut the engine
switch on,9,,cause to operate by flipping a switch,switch on the light,turn on the stereo
switch-hit,10,,,bat right-handed against a left-handed and left-handed against a right-handed pitcher,
symbolize,9,symbolise |,represent or identify by using a symbol,use symbols,The poet symbolizes love in this poem
synchronize,11,,,make (motion picture sound) exactly simultaneous with the action,synchronize this film
synthesize,10,,"combine so as to form a more complex, product",his operas synthesize music and drama in perfect harmony,The liver synthesizes vitamins
synthesize,10,,combine and form a synthesis,Vitamin D only synthesizes when sunlight is available,
tack,4,,,,c 00817462 n 0000 + 04195411 n 0102 + 08698822 n 0101 + 00352160 n 0102 02 + 02 00 + 08 00 | turn into the wind
tag,3,,,touch a player while he is holding the ball,
tailor,6,,adjust to a specific need or market,a magazine oriented towards young people,tailor your needs to your surroundings
take,4,,"ascertain or determine by measuring, computing or take a reading from a dial",take a pulse,A reading was taken of the earth's tremors
take,4,,be seized or affected in a specified way,take sick,be taken drunk
take,4,read |,interpret something in a certain way,convey a particular meaning or impression,I read this address as a satire
take,4,,obtain by winning,Winner takes all,He took first prize
take,4,,"get into one's hands, take physically",Take a cookie,"Can you take this bag, please"
take,4,,"travel or go by means of a certain kind of transportation, or a certain route",He takes the bus to work,She takes Route 1 to Newark
take,4,make |,head into a specified direction,The escaped convict took to the hills,We made for the mountains
take,4,,experience or feel or submit to,Take a test,Take the plunge
take,4,,take into one's possession,We are taking an orphan from Romania,I'll take three salmon steaks
take,4,,take by force,Hitler took the Baltic Republics,The army took the fort on the hill
take,4,,,"^        buy, select",I'll take a pound of that sausage
take,4,occupy | use up |,require (time or space),It took three hours to get to work this morning,This event occupied a very short time
take,4,,carry out,take action,take steps
take a look,11,,look at with attention,Have a look at this,Get a load of this pretty woman!
take after,10,,imitate in behavior,take as a model,Teenagers follow their friends in everything
take away,9,detract |,take away a part from,diminish,His bad manners detract from his good character
take away,9,,"remove from a certain place, environment, or mental or emotional state",transport into a new location or state,Their dreams carried the Romantics away into distant lands
take down,9,,"reduce in worth or character, usually verbally",She tends to put down younger women colleagues,His critics took him down after the lecture
take e have,11,,have sex with,archaic use,He had taken this woman when she was most vulnerable
take f accept c,15,,make use of or accept for some purpose,take a risk,take an opportunity
take lying down,15,,suffer without protest,suffer or endure passively,I won't take this insult lying down
take orders,11,,be ordained,enter the Christian ministry,She took orders last month
take out,8,,obtain by legal or official process,take out a license,take out a patent
take out,8,buy food,purchase prepared food to be eaten at home,,
take the cake,13,,rank first,used often in a negative context,He takes the cake for chutzpah!
take the count,14,,,@        be counted out,remain down while the referee counts to ten
take to,7,,develop a habit,apply oneself to a practice or occupation,She took to drink
talk,4,,express in speech,She talks a lot of nonsense,This depressed patient does not verbalize
talk,4,speak |,exchange thoughts,talk with,We often talk business
talk down,9,,direct and control (the flight of an airplane during landing) via radio,the control tower talked down the plane whose pilot fell ill,
tamper c fiddle,15,monkey c,"play around with or alter or falsify, usually secretively or dishonestly",Someone tampered with the documents on my desk,The reporter fiddle with the facts
tap,3,,pierce in order to draw a liquid from,tap a maple tree for its syrup,tap a keg of beer
tap,3,,draw from or dip into to get something,tap one's memory,tap a source of money
